,nama,harga,deskripsi,detail,link gambar,link
0,Dahsyatnya Hamil Sehat Dan Normal,"Rp.148,000","
          Buku ini memuat materi seputar kehamilan, mulai dari merencanakan kehamilan, ulasan kehamilan minggu demi minggu, persalinan, pasca persalinan, asi dan mpasi hingga tumbuh kembang bayi.        ","{'Kategori': 'Parenting', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '368 halaman', 'Dimensi': '24x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Ide Segar', 'Penulis': 'Erlysita Lammarisi, A.Md.Ked Dkk', 'Berat': '300 gram', 'Product Tags': ' \nbuku parenting\nerlysita lammarisi amdked dkk\nide segar\nparenting\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide436-cr-500x500.jpeg,https://www.solusibuku.com/parenting/dahsyatnya-hamil-sehat-dan-normal.html
1,Buku Pintar 365 Hari Mpasi Terlengkap,"Rp.100,000","
Buku ini memberikan pengetahuan kepada ibu mengenai 365 hari tentang seluk beluk ASI. Banyak yang akan didapatkan dari buku ini, antara lain :
","{'Kategori': 'Parenting', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '216 halaman', 'Dimensi': '19x24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Ide Segar', 'Penulis': 'Astrid Savitri', 'Berat': '600 gram', 'Product Tags': ' \nastrid savitri\nbuku parenting\nide segar\nparenting\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide042-cr-500x500.jpeg,https://www.solusibuku.com/parenting/buku-pintar-365-hari-mpasi-terlengkap.html
2,Wow Serunya Mendidik Anak,"Rp.43,200 ","
          Buku ini berisi inspirasi, pemikiran, pengalaman, dan ulasan penting tentang bagaimana mengurus dan membesarkan anak. Diharapkan buku ini dapat menjadi referensi dan panduan praktis bagi orangtua dalam menghadirkan pendidikan yang berkualitas di tengah keluarga.        ","{'Kategori': 'Parenting', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '208 halaman', 'Dimensi': '20.5x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Heru Kurniawan', 'Berat': '300 gram', 'Product Tags': ' \nbuku parenting\nchecklist\nheru kurniawan\nparenting\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide334-cr-500x500.jpeg,https://www.solusibuku.com/parenting/wow-serunya-mendidik-anak.html
3,9 Bulan Penuh Berkah 101 Resep Pasti Hamil Sehat & Bahagia,"Rp.40,000 ","
          Kehamilan merupakan dambaan bagi setiap wanita yang telah menikah. Banyak persiapan pra kehamilan yang dilakukan mulai dari melakukan gaya hidup sehat, memantau masa subur hingga berkonsultasi dengan ahlinya. Namun, nyatanya persiapan pra kehamilan tidak melulu tentang fisik. Ada persiapan mental, finansial, serta spiritual yang perlu diperhatikan agar kelak ketika kehamilan itu datang kita dapat menyambutnya dengan penuh kesiapan.

Kehamilan, persalinan, dan menyusui adalah tiga hal yang tak terpisahkan. Oleh karenanya, buku ini hadir untuk menambah wawasan para pembaca bagaimana fase-fase tersebut harus dijalani. Karena kehamilan yang sehat, persalinan yang nyaman, serta menerapkan pemberian ASI yang tepat adalah kunci terbentuknya generasi emas di masa mendatang.

Buku ini mengupas tuntas :
a. 4 point penting pada persiapan pra-kehamilan
b. 28 rahasia wajib diketahui bunda dari kehamilan 1-9 bulan
c. 4 hal pokok waktunya persalinan
d. 3 kiat hebat menjalani masa nifas bahagia
e. 8 tips super ASI do baby
f. Mitos-mitos dan fakta-fakta seputar kehamilan, persalinan, dan menyusui        ","{'Kategori': 'Parenting', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '216 halaman', 'Dimensi': '14x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Scritto Books', 'Penulis': 'Wulan Mulya Pratiwi', 'Berat': '300 gram', 'Product Tags': ' \nbuku parenting\nparenting\nscritto books\nwulan mulya pratiwi\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide351-cr-500x500.jpeg,https://www.solusibuku.com/parenting/9-bulan-penuh-berkah-101-resep-pasti-hamil-sehat-bahagia.html
4,Panduan Praktis Cara Terbaik Mendidik Anak Dalam Mengatasi Berbagai Persoalan,"Rp.44,000 ","
          Buku ini dibuat dengan berdasarkan pada pengalaman langsung penulis sebagai guru, orangn tua, dan praktisi-akademis dunia pendidikan keluarga, menyajikan pengalaman dan pengetahuan yang bijak dalam menghadapi berbagai persoalan yang dihadapi dan dibuat oleh anak.        ","{'Kategori': 'Parenting', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '236 halaman', 'Dimensi': '14x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Media Cerdas', 'Penulis': 'Heru Kurniawan', 'Berat': '300 gram', 'Product Tags': ' \nbuku parenting\nheru kurniawan\nmedia cerdas\nparenting\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide474-cr-500x500.jpeg,https://www.solusibuku.com/parenting/panduan-praktis-cara-terbaik-mendidik-anak-dalam-mengatasi-berbagai-persoalan.html
5,Orang Tua Hebat Untuk Generasi Milenial,"Rp.45,600 ","
          Setiap orang tua dan para pendidik memiliki tanggung jawab di hadapan Allah Swt. Terhadap pendidikan generasi mereka. Jika anak-anak dididik dengan baik, maka kebahagiaan bagi mereka di dunia dan di akhirat. Jika pendidikan bagi mereka diabaikan, maka beban dosa senantiasa ditimpakan kepada mereka. Kabar gembira diberikan kepada para orang tua, ""Jika seseorang mati maka terputuslah amal kecuali tiga hal: sedekah jariyah, ilmu yang bermanfaat, atau anak shalih yang mendoakannya."" (HR. Muslim) Maka setiap orang tua atau pendidik yang hendak membesarkan, merawat, dan mendidik anak-anak mereka haruslah melakukan perbaikan-perbaikan terhadap dirinya terlebih dahulu, kemudian mengajarkan dan memberi contoh kepada anak-anak. Karena merekalah pendidik utama bagi anak-anak, supaya kelak menjadi generasi yang mewarisi akhlak mulia Rasulullah Saw. Buku ini bertujuan untuk memberikan kemudahan bagi setiap keluarga muslim dan para pendidik dalam mendidik dan membesarkan anak-anaknya supaya mereka sukses di masa yang akan datang. Insya Allah, anak-anak kita akan menjadi muslim dan muslimah yang sukses dan berakhlak mulia. Amin.        ","{'Kategori': 'Parenting', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '248 halaman', 'Dimensi': '14x20 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Brilliant Books', 'Penulis': 'Maryam Kinanthi N', 'Berat': '500 gram', 'Product Tags': ' \nbrilliant books\nbuku parenting\nmaryam kinanthi n\nparenting\n\n'}",https://www.solusibuku.com/image/c/data/produk/2019/Slide123-cr-500x500.jpeg,https://www.solusibuku.com/parenting/orang-tua-hebat-untuk-generasi-milenial.html
6,Bijak Mendidik Anak Di Era Milenial,"Rp.36,000 ","
          Menjadi orang tua merupakan salah satu anugerah paling indah yang diberikan sang Pencipta kepada kita. Kebahagiaan saat menimang buah hati yang baru lahir di pangkuan sering kali tak dapat dilukiskan dengan kata-kata. Kegagalan orang tua dalam mendidik anak merupakan pemicu anak berperilaku buruk. Sudah banyak penelitian yang menjelaskan hubungan antara perilaku anak dengan pola asuh orang tuanya. Beberapa orang tua menerapkan pola asuh yang dipelajarinya saat kecil tanpa mengetahui pentingnya untuk mengembangkan diri. Sebuah pola asuh yang diterapkan pada satu anak mungkin bisa memberikan hasil yang berbeda pada anak lain. Melalui buku ini, penulis mengajak para orang tua untuk mempelajari cara-cara, mengasuh dan mendidik anak agar mereka bersikap santun dan percaya diri serta memiliki karakter yang kuat. Ketika orang tua selalu mencoba untuk berperilaku baik, maka anak pun akan memiliki perilaku yang baik pula kepada orang tua dan lingkungannya.        ","{'Kategori': 'Parenting', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '178 halaman', 'Dimensi': '14x20 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Brilliant Books', 'Penulis': 'Astrid Savitri', 'Berat': '500 gram', 'Product Tags': ' \nastrid savitri\nbrilliant books\nbuku parenting\nparenting\n\n'}",https://www.solusibuku.com/image/c/data/produk/2019/Slide133-cr-500x500.jpeg,https://www.solusibuku.com/parenting/bijak-mendidik-anak-di-era-milenial.html
7,Cinta Tanpa Syarat,"Rp.47,200 ","
          Buku ini berisi tentang kasih sayang dan perjuangan empat orang ibu terhadap anaknya yang memiliki kebutuhan khusus. Pengalaman-
 pengalaman tersebut memberikan pelajaran bagi pembaca tentang kekuatan seorang ibu, juga tentang bagaimana cinta melampaui itu
 semua.        ","{'Kategori': 'Parenting', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '174 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Shira Media', 'Penulis': 'Diazwara Anjani,Dkk', 'Berat': '400 gram', 'Product Tags': ' \nbuku parenting\ndiazwara anjanidkk\nparenting\nshira media\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide78-cr-500x500.jpeg,https://www.solusibuku.com/parenting/cinta-tanpa-syarat.html
8,NamaNama Bayi Terpopuler Sepanjang Masa,"Rp.60,000 ","
          Buku yang berisi tentang nama-nama bayi perempuan dan laki-laki dari berbagau negara. Selain itu, disertai juga dengan rangkaian nama-nama bayi perempuan dan laki-laki. Dalam buku ini juga disertai dengan quotes-quotes pilihan.        ","{'Kategori': 'Parenting', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '318 halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Caesar Media Pustaka', 'Penulis': 'Esti Utami', 'Berat': '300 gram', 'Product Tags': ' \nbuku parenting\ncharissa publisher\nesti utami\nparenting\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/agustus/Slide05-cr-500x500.jpeg,https://www.solusibuku.com/parenting/nama-nama-bayi-terpopuler-sepanjang-masa.html
9,Ibu Cerdas AZ Cara Mendidik Anak,"Rp.79,200 ","
          Buku ini berisi tips dan trik bagaimana menjadi ibu yang cerdas. Tips menjadi ibu yang mampu menghadapi anak pendiam hingga superaktif. dalam buku ini disajikan banyak gambaran mengenai bagaimana drama menjadi newmom yang harus menghadapi banyak perdebatan dalam mengasuh anak baik dengan ibu, mertua, maupun senior. Dalam buku ini juga membahas tipe anak dan bagaimana cara menanganinya.        ","{'Kategori': 'Parenting', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '173 halaman', 'Dimensi': '15 x 23 cm ', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Caesar Media Pustaka', 'Penulis': 'Tikah Kumala', 'Berat': '300 gram', 'Product Tags': ' \nbuku parenting\ncharissa publisher\nparenting\ntikah kumala\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/agustus/Slide10-cr-500x500.jpeg,https://www.solusibuku.com/parenting/ibu-cerdas-a-z-cara-mendidik-anak.html
10,The Important Sex Education For Kids,"Rp.48,000 ","
          Buku ini menjelaskan segala permasalahan terkait pendidikan seks untuk anak-anak pada setiap tahapan umur. Buku guide orang tua yang merasa tidak nyaman membicarakan perihal seks kepada anak.        ","{'Kategori': 'Parenting', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '216 Halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Brilliant Books', 'Berat': '300 gram', 'Product Tags': ' \nBrilliant Books\n\n'}",https://www.solusibuku.com/image/c/data/produk/2019/smm/des/Slide18-cr-500x500.jpeg,https://www.solusibuku.com/parenting/the-important-sex-education-for-kids.html
11,Dealing Kids Rivalry  No Drama Sublinghood,"Rp.52,000 ","
          Buku ini mengajak para orang tua untuk belajar lagi bagaimana mengatasi pertengkaran, kecemburuan, dan konflik di antara saudara kandung sehingga tercipta kehidupan persaudaraan yang no drama.        ","{'Kategori': 'Parenting', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '261 Halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Media Cerdas', 'Berat': '300 gram', 'Product Tags': ' \nPenerbit Briliant\n\n'}",https://www.solusibuku.com/image/c/data/produk/2019/smm/des/Slide24-cr-500x500.jpeg,https://www.solusibuku.com/parenting/dealing-kids-rivalry-no-drama-sublinghood.html
12,Money The Millenial Ways,"Rp.47,200 ","
          Buku ini banyak membahas tentang pengelolaan keuangan dan cara mendapatkan penghasilan melalui ide bisnis bagi milenial. Buku ini memotivasi generasi milenial mendapatkan penghasilan melalui passion dan melakukannya dengan perhitungan finansial, menabung dan berinvestasi hingga terpenuhi impiannya. Selain itu, dibahas juga peluang-peluang bisnis yang mungkin dilakukan oleh milenial di era disrupsi Revolusi Industri 4.0 guna memberi inspirasi untuk memulai bisnisnya sendiri.        ","{'Kategori': 'Parenting', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '262 Halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Media Cerdas', 'Berat': '300 gram', 'Product Tags': ' \nPenerbit Brilliant\n\n'}",https://www.solusibuku.com/image/c/data/produk/2019/smm/des/Slide33-cr-500x500.jpeg,https://www.solusibuku.com/parenting/money-the-millenial-ways.html
13,LA BARKA COVER BARU,"Rp.56,000 ","
          Apakah sebenarnya yang kuketahui dalam hidup ini? Perkawinanku pun tidak mengajariku banyak hal. Hanya dari buku-buku aku membacanya. Sampai kemudian datang saatnya, ketika kuketahui suamiku tidak setia terhadapku. Tak dapat kuingat perasaan yang kutanggung pada waktu itu. Cemburu? Aku tidak tahu, apakah itu dapat dikatakan cemburu. Itu adalah semacam cubitan yang menggugah, yang membangunkan dari rasa mengantuk. Sakit, tapi hanya sedetik dan seketika itu. Yang menyusul kemudian adalah penyesalan yang hampir mendekati kemarahan karena dicubit dan dibangunkan. La Barka berisi catatan harian Rina, perempuan Indonesia yang menikah dengan lelaki Prancis. Nyatanya, keluarga yang diidam-idamkan tak juga dimiliki. Dalam proses perceraian, Rina pergi ke Provence, Prancis Selatan. Dia tinggal di La Barka, rumah Monique, sahabatnya. Di sana, Rina tak hanya mencurahkan semua kegundahan, tetapi juga menangkap kisah perempuan-perempuan yang dia temui di La Barka. Tak luput, Robert, lelaki terpelajar yang hampir 10 tahun lebih muda yang menyukai pesona ketimuran Rina. Kisah-kisah di La Barka tak bisa dianggap sekadar lalu, ada suara pilu perempuan yang sering dianggap tabu.        ","{'Kategori': 'Parenting', 'Ketebalan': '260 Halaman', 'Dimensi': '16x19 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Gramedia Pustaka Utama', 'Penulis': 'Nh. Dini', 'Berat': '300 gram', 'Product Tags': ' \n buku novel\ngramedia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/gramedia/Slide055-cr-500x500.jpeg,https://www.solusibuku.com/parenting/la-barka-cover-baru.html
14,LANCAR MEMBACA UNTUK PAUD DAN TK,"Rp.63,600 ","
          Usia balita merupakan usia emas bagi perkembangan otak si kecil. Pada masa ini 80 persen perkembangan otak terjadi. Otak balita berfungsi sangat baik dan mampu menyerap informasi dengan maksimal. Oleh karena itu, sebaiknya para orangtua mengoptimalkan perkembangan otak si kecil melalui aktivitas belajar.  Membaca adalah salah satu kunci utama untuk mengenal dunia sekitar. Sebaiknya, membaca mulai diperkenalkan pada anak sejak usia balita karena pada masa periode emas inilah si kecil dapat menyerap berbagai informasi yang diterimanya. Penulis menyusun buku ini agar dapat menjadi panduan bagi para orangtua untuk memperkenalkan belajar membaca pada anak usia balita. Semoga dengan buku ini, si kecil bisa membaca dan mengenal dunia sedini mungkin.        ","{'Kategori': 'Parenting', 'Ketebalan': '103 Hal Halaman', 'Dimensi': '21 x 27 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Umi Nida', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide106-cr-500x500.JPG,https://www.solusibuku.com/parenting/lancar-membaca-untuk-paud-dan-tk.html
15,EDU BOOK MEMBACA MENULIS DAN BERHITUNG,"Rp.47,600 ","
          Usia balita merupakan usia emas bagi perkembangan otak si kecil. Pada masa ini 80 persen perkembangan otak terjadi. Otak balita berfungsi sangat baik dan mampu menyerap informasi dengan maksimal. Oleh karena itu, sebaiknya para orangtua mengoptimalkan perkembangan otak si kecil melalui aktivitas belajar.  Membaca adalah salah satu kunci utama untuk mengenal dunia sekitar. Sebaiknya, membaca mulai diperkenalkan pada anak sejak usia balita karena pada masa periode emas inilah si kecil dapat menyerap berbagai informasi yang diterimanya. Penulis menyusun buku ini agar dapat menjadi panduan bagi para orangtua untuk memperkenalkan belajar membaca pada anak usia balita. Semoga dengan buku ini, si kecil bisa membaca dan mengenal dunia sedini mungkin.        ","{'Kategori': 'Parenting', 'Ketebalan': '58 Hal Halaman', 'Dimensi': '21 x 28 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Sri Hartati', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide107-cr-500x500.JPG,https://www.solusibuku.com/parenting/edu-book-membaca-menulis-dan-berhitung.html
16,SERI ANAK PINTAR BUDI PEKERTI,"Rp.31,600 ","
          Buku Panduan Untuk Mengajarkan Si Kecil Memiliki Etika Yang Baik Dalam Bergaul Dengan Siapa Pun Mulai Dari Keluarga, Guru, Teman, Hingga Orang Yang Lebih Tua.         ","{'Kategori': 'Parenting', 'Ketebalan': '32 Hal Halaman', 'Dimensi': '19 x 20 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Rifka R.N', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide108-cr-500x500.JPG,https://www.solusibuku.com/parenting/seri-anak-pintar-budi-pekerti.html
17,EDU BOOK MAHIR BERHITUNG MENULIS MEMBACA MENGGAMBAR MEWARNAI UNTUK PAUD DAN TK,"Rp.79,600 ","
          Buku ini sangat dianjurkan bagi Anda yang memiliki anak usia PAUD dan TK. Kenapa? Karena buku ini sangat lengkap dan pastinya Anda butuhkan untuk persiapan si kecil bersekolah dan menjadi juara!        ","{'Kategori': 'Parenting', 'Ketebalan': '236 Hal Halaman', 'Dimensi': '21 x 28 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'kak Noe', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide109-cr-500x500.JPG,https://www.solusibuku.com/parenting/edu-book-mahir-berhitung-menulis-membaca-menggambar-mewarnai-untuk-paud-dan-tk.html
